,avg_pnl,avg_win_rate,avg_sharpe,total_trades,num_symbols,params,symbol_results
21,806513.0002535515,0.6085461000445294,0.3217755730833716,1377,8,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': -313589.735806712, 'win_rate': 0.6, 'sharpe': -0.3341641252847399, 'num_trades': 165, 'symbol': 'NVDA'}, {'total_pnl': 349465.8227958282, 'win_rate': 0.5810055865921788, 'sharpe': 0.1364379440669974, 'num_trades': 179, 'symbol': 'TSLA'}, {'total_pnl': 506173.02621799894, 'win_rate': 0.6524822695035462, 'sharpe': 0.5036917914017142, 'num_trades': 141, 'symbol': 'AAPL'}, {'total_pnl': 3028494.2809524103, 'win_rate': 0.6621621621621622, 'sharpe': 1.0239560879125242, 'num_trades': 148, 'symbol': 'META'}, {'total_pnl': -510631.3474265432, 'win_rate': 0.5609756097560976, 'sharpe': -0.908126200447564, 'num_trades': 164, 'symbol': 'PYPL'}, {'total_pnl': 261648.91720246032, 'win_rate': 0.6212121212121212, 'sharpe': 0.3518230295524715, 'num_trades': 198, 'symbol': 'SQ'}, {'total_pnl': 132368.12279108024, 'win_rate': 0.5561224489795918, 'sharpe': 0.5767514998604896, 'num_trades': 196, 'symbol': 'GME'}, {'total_pnl': 2998174.915301889, 'win_rate': 0.6344086021505376, 'sharpe': 1.2238345576050802, 'num_trades': 186, 'symbol': 'COIN'}]"
23,762722.9276866423,0.6050938230173355,0.30653493979764496,1371,8,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': -511839.7358067117, 'win_rate': 0.5975609756097561, 'sharpe': -0.53529392910267, 'num_trades': 164, 'symbol': 'NVDA'}, {'total_pnl': 388323.32279582706, 'win_rate': 0.5786516853932584, 'sharpe': 0.1473583734091547, 'num_trades': 178, 'symbol': 'TSLA'}, {'total_pnl': 672655.526218001, 'win_rate': 0.6595744680851063, 'sharpe': 0.6308125494610213, 'num_trades': 141, 'symbol': 'AAPL'}, {'total_pnl': 2717619.2809524126, 'win_rate': 0.6530612244897959, 'sharpe': 0.9270171832159191, 'num_trades': 147, 'symbol': 'META'}, {'total_pnl': -469378.8474265428, 'win_rate': 0.5670731707317073, 'sharpe': -0.8325772296134862, 'num_trades': 164, 'symbol': 'PYPL'}, {'total_pnl': 246641.4172024603, 'win_rate': 0.6111111111111112, 'sharpe': 0.31988554874526376, 'num_trades': 198, 'symbol': 'SQ'}, {'total_pnl': 138993.1227910801, 'win_rate': 0.5487179487179488, 'sharpe': 0.6035651872533013, 'num_trades': 195, 'symbol': 'GME'}, {'total_pnl': 2918769.3347666115, 'win_rate': 0.625, 'sharpe': 1.1915118350126557, 'num_trades': 184, 'symbol': 'COIN'}]"
29,702785.985590643,0.6063390043892818,0.2721356015081633,1076,8,"{'vwap_length': 50, 'mfi_length': 14, 'mfi_oversold': 30, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': 36049.49087768499, 'win_rate': 0.6377952755905512, 'sharpe': 0.042904492693945646, 'num_trades': 127, 'symbol': 'NVDA'}, {'total_pnl': -53930.986162931076, 'win_rate': 0.5657894736842105, 'sharpe': -0.019888684480950575, 'num_trades': 152, 'symbol': 'TSLA'}, {'total_pnl': 784844.9999999958, 'win_rate': 0.6851851851851852, 'sharpe': 0.8170524320562184, 'num_trades': 108, 'symbol': 'AAPL'}, {'total_pnl': 2432226.1721245092, 'win_rate': 0.7017543859649122, 'sharpe': 0.7878016562060489, 'num_trades': 114, 'symbol': 'META'}, {'total_pnl': -311121.7799824879, 'win_rate': 0.5609756097560976, 'sharpe': -0.6260830580954164, 'num_trades': 123, 'symbol': 'PYPL'}, {'total_pnl': -400392.5883209918, 'win_rate': 0.5684931506849316, 'sharpe': -0.4983641915691194, 'num_trades': 146, 'symbol': 'SQ'}, {'total_pnl': 83046.91567935649, 'win_rate': 0.5228758169934641, 'sharpe': 0.3964623377381679, 'num_trades': 153, 'symbol': 'GME'}, {'total_pnl': 3051565.6605100078, 'win_rate': 0.6078431372549019, 'sharpe': 1.277199827516412, 'num_trades': 153, 'symbol': 'COIN'}]"
25,520527.8047982786,0.5994944641416287,0.25126703646229215,686,8,"{'vwap_length': 50, 'mfi_length': 14, 'mfi_oversold': 20, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': 257332.74452982342, 'win_rate': 0.6352941176470588, 'sharpe': 0.3563631922481479, 'num_trades': 85, 'symbol': 'NVDA'}, {'total_pnl': 32433.64097585366, 'win_rate': 0.5869565217391305, 'sharpe': 0.016187588405300733, 'num_trades': 92, 'symbol': 'TSLA'}, {'total_pnl': 449602.49999999814, 'win_rate': 0.6507936507936508, 'sharpe': 0.5595452601130751, 'num_trades': 63, 'symbol': 'AAPL'}, {'total_pnl': 2210545.000000002, 'win_rate': 0.7397260273972602, 'sharpe': 0.9976461112865617, 'num_trades': 73, 'symbol': 'META'}, {'total_pnl': -444076.45511901175, 'win_rate': 0.4823529411764706, 'sharpe': -0.9691994602453863, 'num_trades': 85, 'symbol': 'PYPL'}, {'total_pnl': 148944.83532356078, 'win_rate': 0.5742574257425742, 'sharpe': 0.2868185937608344, 'num_trades': 101, 'symbol': 'SQ'}, {'total_pnl': -1433.5930406712505, 'win_rate': 0.5154639175257731, 'sharpe': -0.008404392067947703, 'num_trades': 97, 'symbol': 'GME'}, {'total_pnl': 1510873.7657166738, 'win_rate': 0.6111111111111112, 'sharpe': 0.7711793981977515, 'num_trades': 90, 'symbol': 'COIN'}]"
26,389017.22064328863,0.5683174626129173,0.24214133382895592,766,8,"{'vwap_length': 50, 'mfi_length': 14, 'mfi_oversold': 20, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 8, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': 204816.27210705154, 'win_rate': 0.5729166666666666, 'sharpe': 0.32867784746043915, 'num_trades': 96, 'symbol': 'NVDA'}, {'total_pnl': 110542.43302596934, 'win_rate': 0.51, 'sharpe': 0.0689924613751445, 'num_trades': 100, 'symbol': 'TSLA'}, {'total_pnl': 547034.9999999988, 'win_rate': 0.6216216216216216, 'sharpe': 0.9332120811533707, 'num_trades': 74, 'symbol': 'AAPL'}, {'total_pnl': 1133540.0000000016, 'win_rate': 0.6962025316455697, 'sharpe': 0.6505681643097377, 'num_trades': 79, 'symbol': 'META'}, {'total_pnl': -386414.3512522568, 'win_rate': 0.46875, 'sharpe': -0.912715593453806, 'num_trades': 96, 'symbol': 'PYPL'}, {'total_pnl': -64615.32930152862, 'win_rate': 0.5398230088495575, 'sharpe': -0.14498383588245042, 'num_trades': 113, 'symbol': 'SQ'}, {'total_pnl': 23259.255793874752, 'win_rate': 0.5233644859813084, 'sharpe': 0.1480847622480752, 'num_trades': 107, 'symbol': 'GME'}, {'total_pnl': 1543974.4847731981, 'win_rate': 0.6138613861386139, 'sharpe': 0.8652947834211366, 'num_trades': 101, 'symbol': 'COIN'}]"
24,383988.58007881785,0.5694856869119826,0.23401074018292406,766,8,"{'vwap_length': 50, 'mfi_length': 14, 'mfi_oversold': 20, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 8, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': 202316.27210705148, 'win_rate': 0.5729166666666666, 'sharpe': 0.32474077064027124, 'num_trades': 96, 'symbol': 'NVDA'}, {'total_pnl': 110542.43302596934, 'win_rate': 0.51, 'sharpe': 0.0689924613751445, 'num_trades': 100, 'symbol': 'TSLA'}, {'total_pnl': 530409.9999999991, 'win_rate': 0.6216216216216216, 'sharpe': 0.9092946735628856, 'num_trades': 74, 'symbol': 'AAPL'}, {'total_pnl': 1133540.0000000016, 'win_rate': 0.6962025316455697, 'sharpe': 0.6505681643097377, 'num_trades': 79, 'symbol': 'META'}, {'total_pnl': -414414.3512522569, 'win_rate': 0.46875, 'sharpe': -0.9940327983469257, 'num_trades': 96, 'symbol': 'PYPL'}, {'total_pnl': -64615.32930152862, 'win_rate': 0.5398230088495575, 'sharpe': -0.14498383588245042, 'num_trades': 113, 'symbol': 'SQ'}, {'total_pnl': 30155.131278108616, 'win_rate': 0.5327102803738317, 'sharpe': 0.19221170238359306, 'num_trades': 107, 'symbol': 'GME'}, {'total_pnl': 1543974.4847731981, 'win_rate': 0.6138613861386139, 'sharpe': 0.8652947834211366, 'num_trades': 101, 'symbol': 'COIN'}]"
27,481673.26659138466,0.5917111312718292,0.21658693422427272,686,8,"{'vwap_length': 50, 'mfi_length': 14, 'mfi_oversold': 20, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': 276582.74452982366, 'win_rate': 0.6352941176470588, 'sharpe': 0.3823538362412382, 'num_trades': 85, 'symbol': 'NVDA'}, {'total_pnl': 57688.64097585343, 'win_rate': 0.5978260869565217, 'sharpe': 0.02882104282521734, 'num_trades': 92, 'symbol': 'TSLA'}, {'total_pnl': 479727.4999999986, 'win_rate': 0.6349206349206349, 'sharpe': 0.5922688742612457, 'num_trades': 63, 'symbol': 'AAPL'}, {'total_pnl': 2039670.0000000026, 'win_rate': 0.7123287671232876, 'sharpe': 0.9206735693841248, 'num_trades': 73, 'symbol': 'META'}, {'total_pnl': -415763.95511901163, 'win_rate': 0.49411764705882355, 'sharpe': -0.9035262540538063, 'num_trades': 85, 'symbol': 'PYPL'}, {'total_pnl': 58199.83532356068, 'win_rate': 0.5643564356435643, 'sharpe': 0.10850508849597401, 'num_trades': 101, 'symbol': 'SQ'}, {'total_pnl': -15902.398695823977, 'win_rate': 0.4948453608247423, 'sharpe': -0.09303409940861342, 'num_trades': 97, 'symbol': 'GME'}, {'total_pnl': 1373183.7657166738, 'win_rate': 0.6, 'sharpe': 0.6966334160488016, 'num_trades': 90, 'symbol': 'COIN'}]"
31,556642.6862603561,0.5981251237506202,0.20108705257669995,1074,8,"{'vwap_length': 50, 'mfi_length': 14, 'mfi_oversold': 30, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': 61049.49087768518, 'win_rate': 0.6456692913385826, 'sharpe': 0.07256007706636364, 'num_trades': 127, 'symbol': 'NVDA'}, {'total_pnl': -565645.9861629319, 'win_rate': 0.5666666666666667, 'sharpe': -0.21715962734334038, 'num_trades': 150, 'symbol': 'TSLA'}, {'total_pnl': 931094.9999999958, 'win_rate': 0.6759259259259259, 'sharpe': 0.9389146516225156, 'num_trades': 108, 'symbol': 'AAPL'}, {'total_pnl': 2228476.172124513, 'win_rate': 0.6842105263157895, 'sharpe': 0.7227497757532477, 'num_trades': 114, 'symbol': 'META'}, {'total_pnl': -350436.7799824878, 'win_rate': 0.5528455284552846, 'sharpe': -0.6969565831586002, 'num_trades': 123, 'symbol': 'PYPL'}, {'total_pnl': -482137.58832099184, 'win_rate': 0.5616438356164384, 'sharpe': -0.5915070405789954, 'num_trades': 146, 'symbol': 'SQ'}, {'total_pnl': 71740.52103705812, 'win_rate': 0.5032679738562091, 'sharpe': 0.3400432225925511, 'num_trades': 153, 'symbol': 'GME'}, {'total_pnl': 2559000.6605100078, 'win_rate': 0.5947712418300654, 'sharpe': 1.0400519446598575, 'num_trades': 153, 'symbol': 'COIN'}]"
13,337309.112996938,0.627136282121298,0.18727877783560035,1174,8,"{'vwap_length': 20, 'mfi_length': 14, 'mfi_oversold': 30, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': -487543.8355661315, 'win_rate': 0.5869565217391305, 'sharpe': -0.6399085334827331, 'num_trades': 138, 'symbol': 'NVDA'}, {'total_pnl': -1339882.200453252, 'win_rate': 0.5688622754491018, 'sharpe': -0.5137882635868465, 'num_trades': 167, 'symbol': 'TSLA'}, {'total_pnl': 826059.999999994, 'win_rate': 0.7033898305084746, 'sharpe': 0.8820319026393478, 'num_trades': 118, 'symbol': 'AAPL'}, {'total_pnl': 695497.5074372794, 'win_rate': 0.7165354330708661, 'sharpe': 0.19999069666237423, 'num_trades': 127, 'symbol': 'META'}, {'total_pnl': -61304.47779809023, 'win_rate': 0.6028368794326241, 'sharpe': -0.1255342974287546, 'num_trades': 141, 'symbol': 'PYPL'}, {'total_pnl': -225936.95995868935, 'win_rate': 0.6273291925465838, 'sharpe': -0.29072891067851275, 'num_trades': 161, 'symbol': 'SQ'}, {'total_pnl': 116460.90566042287, 'win_rate': 0.5900621118012422, 'sharpe': 0.6140932166375022, 'num_trades': 161, 'symbol': 'GME'}, {'total_pnl': 3175121.9646539707, 'win_rate': 0.6211180124223602, 'sharpe': 1.3720744119224255, 'num_trades': 161, 'symbol': 'COIN'}]"
17,560036.6892364756,0.6101185368066235,0.18422575904918825,1135,8,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 20, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': -312455.7590079638, 'win_rate': 0.6, 'sharpe': -0.34932840455390646, 'num_trades': 135, 'symbol': 'NVDA'}, {'total_pnl': 629387.0697700714, 'win_rate': 0.6216216216216216, 'sharpe': 0.28315807805676096, 'num_trades': 148, 'symbol': 'TSLA'}, {'total_pnl': 311017.4999999963, 'win_rate': 0.6371681415929203, 'sharpe': 0.3395281216659869, 'num_trades': 113, 'symbol': 'AAPL'}, {'total_pnl': 1994536.8692095238, 'win_rate': 0.680327868852459, 'sharpe': 0.7517377195167056, 'num_trades': 122, 'symbol': 'META'}, {'total_pnl': -559522.7668469225, 'win_rate': 0.5586206896551724, 'sharpe': -1.0127915687763316, 'num_trades': 145, 'symbol': 'PYPL'}, {'total_pnl': 67341.97284650107, 'win_rate': 0.6176470588235294, 'sharpe': 0.09251049651665294, 'num_trades': 170, 'symbol': 'SQ'}, {'total_pnl': 60764.94198996352, 'win_rate': 0.5231788079470199, 'sharpe': 0.3107631168259631, 'num_trades': 151, 'symbol': 'GME'}, {'total_pnl': 2289223.685930635, 'win_rate': 0.6423841059602649, 'sharpe': 1.0582285131416747, 'num_trades': 151, 'symbol': 'COIN'}]"
19,507465.36666956614,0.6047814384200259,0.16676750021636533,1131,8,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 20, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': -483455.7590079637, 'win_rate': 0.5895522388059702, 'sharpe': -0.5297800722753291, 'num_trades': 134, 'symbol': 'NVDA'}, {'total_pnl': 730494.5697700707, 'win_rate': 0.6122448979591837, 'sharpe': 0.31730375105145614, 'num_trades': 147, 'symbol': 'TSLA'}, {'total_pnl': 405999.99999999814, 'win_rate': 0.6460176991150443, 'sharpe': 0.4221507097034763, 'num_trades': 113, 'symbol': 'AAPL'}, {'total_pnl': 1643661.8692095252, 'win_rate': 0.6694214876033058, 'sharpe': 0.6290985185711957, 'num_trades': 121, 'symbol': 'META'}, {'total_pnl': -518020.2668469221, 'win_rate': 0.5586206896551724, 'sharpe': -0.935656217140701, 'num_trades': 145, 'symbol': 'PYPL'}, {'total_pnl': 45584.472846501114, 'win_rate': 0.6058823529411764, 'sharpe': 0.060441745781199215, 'num_trades': 170, 'symbol': 'SQ'}, {'total_pnl': 74389.94198996348, 'win_rate': 0.5231788079470199, 'sharpe': 0.37906841855265944, 'num_trades': 151, 'symbol': 'GME'}, {'total_pnl': 2161068.1053953567, 'win_rate': 0.6333333333333333, 'sharpe': 0.991513147486966, 'num_trades': 150, 'symbol': 'COIN'}]"
15,264427.36086482124,0.6287884211300658,0.14574046095906384,1173,8,"{'vwap_length': 20, 'mfi_length': 14, 'mfi_oversold': 30, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': -481793.83556613163, 'win_rate': 0.5942028985507246, 'sharpe': -0.63231633007825, 'num_trades': 138, 'symbol': 'NVDA'}, {'total_pnl': -1386149.7004532528, 'win_rate': 0.572289156626506, 'sharpe': -0.5294373836587504, 'num_trades': 166, 'symbol': 'TSLA'}, {'total_pnl': 826059.999999994, 'win_rate': 0.7033898305084746, 'sharpe': 0.8820319026393478, 'num_trades': 118, 'symbol': 'AAPL'}, {'total_pnl': 681372.5074372774, 'win_rate': 0.7244094488188977, 'sharpe': 0.1962535746685482, 'num_trades': 127, 'symbol': 'META'}, {'total_pnl': -41679.47779809017, 'win_rate': 0.6099290780141844, 'sharpe': -0.08530776370341783, 'num_trades': 141, 'symbol': 'PYPL'}, {'total_pnl': -287561.9599586894, 'win_rate': 0.6273291925465838, 'sharpe': -0.36392860476023414, 'num_trades': 161, 'symbol': 'SQ'}, {'total_pnl': 107986.88860349079, 'win_rate': 0.5838509316770186, 'sharpe': 0.568841170527904, 'num_trades': 161, 'symbol': 'GME'}, {'total_pnl': 2697184.464653972, 'win_rate': 0.6149068322981367, 'sharpe': 1.1297871220373632, 'num_trades': 161, 'symbol': 'COIN'}]"
9,171613.4958173609,0.6266957836891514,0.12753440285876647,724,8,"{'vwap_length': 20, 'mfi_length': 14, 'mfi_oversold': 20, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': 820.6225842607791, 'win_rate': 0.6206896551724138, 'sharpe': 0.0013184859909915903, 'num_trades': 87, 'symbol': 'NVDA'}, {'total_pnl': -1437106.595365319, 'win_rate': 0.5714285714285714, 'sharpe': -0.7194768542378305, 'num_trades': 98, 'symbol': 'TSLA'}, {'total_pnl': 325422.4999999992, 'win_rate': 0.696969696969697, 'sharpe': 0.4408975278983914, 'num_trades': 66, 'symbol': 'AAPL'}, {'total_pnl': 739667.4999999963, 'win_rate': 0.7469879518072289, 'sharpe': 0.24121325406597593, 'num_trades': 83, 'symbol': 'META'}, {'total_pnl': -154453.95511901347, 'win_rate': 0.5730337078651685, 'sharpe': -0.37238293205788503, 'num_trades': 89, 'symbol': 'PYPL'}, {'total_pnl': 125157.96368586553, 'win_rate': 0.6190476190476191, 'sharpe': 0.2534304263945336, 'num_trades': 105, 'symbol': 'SQ'}, {'total_pnl': 47206.82889153644, 'win_rate': 0.5643564356435643, 'sharpe': 0.3016824693074933, 'num_trades': 101, 'symbol': 'GME'}, {'total_pnl': 1726193.1018615616, 'win_rate': 0.6210526315789474, 'sharpe': 0.8735928455084615, 'num_trades': 95, 'symbol': 'COIN'}]"
28,423325.8716252524,0.5442488522078281,0.127010311790957,1214,8,"{'vwap_length': 50, 'mfi_length': 14, 'mfi_oversold': 30, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 8, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': -154022.7343243122, 'win_rate': 0.5135135135135135, 'sharpe': -0.20655178779361477, 'num_trades': 148, 'symbol': 'NVDA'}, {'total_pnl': 480283.8769037595, 'win_rate': 0.5176470588235295, 'sharpe': 0.19962685249414044, 'num_trades': 170, 'symbol': 'TSLA'}, {'total_pnl': 362470.0000000032, 'win_rate': 0.6097560975609756, 'sharpe': 0.45897905298696745, 'num_trades': 123, 'symbol': 'AAPL'}, {'total_pnl': 459123.6721245079, 'win_rate': 0.6062992125984252, 'sharpe': 0.17421789125530734, 'num_trades': 127, 'symbol': 'META'}, {'total_pnl': -305355.1742983891, 'win_rate': 0.4794520547945205, 'sharpe': -0.6478447382841422, 'num_trades': 146, 'symbol': 'PYPL'}, {'total_pnl': -181840.28481061143, 'win_rate': 0.5476190476190477, 'sharpe': -0.23715791408078915, 'num_trades': 168, 'symbol': 'SQ'}, {'total_pnl': 17764.01158454115, 'win_rate': 0.48214285714285715, 'sharpe': 0.09691744249624566, 'num_trades': 168, 'symbol': 'GME'}, {'total_pnl': 2708183.6058225203, 'win_rate': 0.5975609756097561, 'sharpe': 1.1778956952535413, 'num_trades': 164, 'symbol': 'COIN'}]"
30,394400.7621897232,0.5435135580901811,0.12495246403073601,1214,8,"{'vwap_length': 50, 'mfi_length': 14, 'mfi_oversold': 30, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 8, 'profit_target': 0.02, 'stop_loss': 0.02}","[{'total_pnl': -161772.73432431225, 'win_rate': 0.5135135135135135, 'sharpe': -0.21718571274421933, 'num_trades': 148, 'symbol': 'NVDA'}, {'total_pnl': 397248.8769037585, 'win_rate': 0.5117647058823529, 'sharpe': 0.16520221022166368, 'num_trades': 170, 'symbol': 'TSLA'}, {'total_pnl': 362470.0000000032, 'win_rate': 0.6097560975609756, 'sharpe': 0.45897905298696745, 'num_trades': 123, 'symbol': 'AAPL'}, {'total_pnl': 325748.6721245088, 'win_rate': 0.6062992125984252, 'sharpe': 0.1242373177402329, 'num_trades': 127, 'symbol': 'META'}, {'total_pnl': -277355.174298389, 'win_rate': 0.4794520547945205, 'sharpe': -0.582939571846761, 'num_trades': 146, 'symbol': 'PYPL'}, {'total_pnl': -181840.28481061143, 'win_rate': 0.5476190476190477, 'sharpe': -0.23715791408078915, 'num_trades': 168, 'symbol': 'SQ'}, {'total_pnl': 23773.13610030731, 'win_rate': 0.48214285714285715, 'sharpe': 0.12777748595934693, 'num_trades': 168, 'symbol': 'GME'}, {'total_pnl': 2666933.6058225203, 'win_rate': 0.5975609756097561, 'sharpe': 1.1607068440094466, 'num_trades': 164, 'symbol': 'COIN'}]"
